latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
3.0579963,101.53102,42.0,28800,Asia/Kuala_Lumpur,GMT+8

time,precipitation_sum (mm),temperature_2m_mean (°C)
2010-07-26,7.10,25.6
2010-07-27,0.30,26.3
2010-07-28,9.40,26.4
2010-07-29,0.00,27.3
2010-07-30,1.10,26.5
2010-07-31,3.60,26.0
2010-08-01,3.10,26.2
2010-08-02,0.00,27.0
2010-08-03,0.00,27.1
2010-08-04,5.30,26.7
2010-08-05,1.10,26.6
2010-08-06,2.00,26.6
2010-08-07,12.10,25.8
2010-08-08,1.50,26.1
2010-08-09,5.00,26.2
2010-08-10,0.40,27.2
2010-08-11,0.80,27.2
2010-08-12,2.70,27.0
2010-08-13,14.60,26.2
2010-08-14,9.90,25.5
2010-08-15,14.60,26.0
2010-08-16,10.40,25.8
2010-08-17,10.10,25.5
2010-08-18,0.30,26.1
2010-08-19,6.80,25.8
2010-08-20,2.70,26.1
2010-08-21,0.00,26.6
2010-08-22,0.70,25.9
2010-08-23,1.10,26.2
2010-08-24,0.30,27.1
2010-08-25,0.00,27.7
2010-08-26,0.50,27.6
2010-08-27,0.40,27.2
2010-08-28,2.80,27.1
2010-08-29,2.10,27.1
2010-08-30,1.40,26.8
2010-08-31,3.20,26.7
2010-09-01,2.80,26.7
2010-09-02,4.00,26.9
2010-09-03,1.80,26.8
2010-09-04,0.90,26.9
2010-09-05,2.00,26.2
2010-09-06,2.50,26.2
2010-09-07,1.70,26.7
2010-09-08,5.40,25.8
2010-09-09,6.70,26.5
2010-09-10,4.20,26.3
2010-09-11,0.00,26.7
2010-09-12,0.00,27.0
2010-09-13,1.10,27.0
2010-09-14,1.60,26.9
2010-09-15,3.80,26.2
2010-09-16,1.00,27.2
2010-09-17,21.70,25.0
2010-09-18,0.80,26.3
2010-09-19,3.20,26.1
2010-09-20,15.00,25.7
2010-09-21,4.30,26.0
2010-09-22,11.70,25.5
2010-09-23,8.50,25.6
2010-09-24,9.90,25.7
2010-09-25,7.50,25.8
2010-09-26,11.10,25.8
2010-09-27,1.40,26.2
2010-09-28,2.80,26.0
2010-09-29,5.40,26.1
2010-09-30,15.60,25.6
2010-10-01,7.20,25.5
2010-10-02,3.30,26.3
2010-10-03,3.70,26.7
2010-10-04,4.00,26.7
2010-10-05,4.60,26.7
2010-10-06,1.80,27.1
2010-10-07,1.50,26.7
2010-10-08,1.10,26.9
2010-10-09,0.60,27.1
2010-10-10,0.20,27.6
2010-10-11,0.00,27.6
2010-10-12,0.00,28.0
2010-10-13,0.00,27.8
2010-10-14,0.00,27.3
2010-10-15,0.40,27.5
2010-10-16,0.00,27.7
2010-10-17,0.30,27.7
2010-10-18,1.10,27.4
2010-10-19,0.00,27.4
2010-10-20,0.60,27.4
2010-10-21,0.20,27.6
2010-10-22,0.80,27.5
2010-10-23,4.80,26.9
2010-10-24,13.10,25.6
2010-10-25,4.30,25.7
2010-10-26,6.50,25.8
2010-10-27,4.70,25.8
2010-10-28,0.90,26.8
2010-10-29,13.70,25.8
2010-10-30,12.20,25.0
2010-10-31,6.70,25.5
2010-11-01,9.40,24.7
2010-11-02,6.10,25.1
2010-11-03,0.10,26.8
2010-11-04,0.10,27.2
2010-11-05,1.30,26.9
2010-11-06,12.30,25.8
2010-11-07,13.60,25.0
2010-11-08,4.50,25.3
2010-11-09,14.80,25.3
2010-11-10,4.20,26.0
2010-11-11,6.80,25.9
2010-11-12,3.70,25.7
2010-11-13,0.50,26.5
2010-11-14,3.40,26.1
